recipe_name,flavors,rating,success
All–Butter Pie Dough ,,3.5,0.1
Semolina Cake With Oranges ,bay lemon orange cardamom orange lemon,3,0.1
Dark Ginger Rye Cake With Yogurt and Honey ,ginger cinnamon nutmeg pepper ginger vanilla coconut honey,4,0.1
3-Ingredient Caramel-Pear Galette ,pear caramel,4,0.1
"""Brown on Blonde"" Blondies ",walnut pecan almond vanilla,0,0
Danish Pastry Braid ,cardamom almond almond almond almond almond,4,0.1
Warm Cocoa Pudding With Candied Pecans ,pecan vanilla cocoa chocolate,0,0
Fancy Dirt Cake ,chocolate vanilla,4,0.1
Salted Butterscotch ,vanilla,4,0.1
3-Ingredient Fudge Pops ,coconut cocoa,0,0
3-Ingredient Pumpkin Mousse ,pumpkin,3.5,0.94
3-Ingredient Frozen Mud Pie ,chocolate coffee,0,0
Soft Oatmeal Cookies ,raisin raisin cinnamon vanilla oat,4,0.1
3-Ingredient Blueberry Champagne Granita ,blueberry,0,0
3-Ingredient Gingersnap Icebox Cake ,orange,0,0
3-Ingredient Cinnamon-Sugar Twists ,cinnamon,3,0.1
Blueberry Peach Slab Pie ,peach blueberry vanilla lemon,2,0.25
Polenta Budino With Plum Marmellata ,lemon plum vanilla,3,0.5
Peach Parfait With Salted Graham Cracker Crumble ,graham peach lemon raspberry,3.5,0.1
Neo-Neapolitan Bombe ,coconut pistachio strawberry strawberry pistachio,3,0.1
Maraschino Cherry Parfaits ,cherry lemon brandy almond vanilla cherry,4,0.1
Cinnamon Swirl Vanilla Ice Cream Bars ,cinnamon almond vanilla coconut pretzel,0,0
No-Bake Butterscotch-Coconut Cookies ,peanut oat coconut chocolate,4,0.1
Chocolate Grasshopper Ice Cream Tart ,cocoa mint chocolate chocolate,4,0.1
Blondie Sundaes with Fried Walnuts and Candied Fennel ,almond walnut fennel lemon vanilla vanilla cherry,0,0
Mixed Berry Pie Bars ,strawberry blueberry lemon,3.5,0.75
Fudgy Chocolate Banana Flax Muffins ,coconut banana vanilla cocoa chocolate,3.5,0.8
Hibiscus-Mint Granita ,hibiscus lime mint mint,4,0.1
Lemon Blossom Cupcakes ,vanilla lemon lemon vanilla lemon,4,0.1
Lemon Blueberry Cupcakes with a Citrus Glaze ,vanilla lemon blueberry lemon lemon vanilla,4,0.1
Peach Lattice Pie With Bourbon Caramel ,vanilla peach vanilla lemon cinnamon,4,0.1
Gingersnap Peach Upside-Down Cake ,peach ginger vanilla vanilla,1,0
Slow Cooker Amaretto-Poached Peaches ,peach lemon honey pepper vanilla basil,4,0.1
3-Ingredient Flourless Chocolate Cake ,chocolate,2.5,0.56
Ode to Halo-Halo ,banana vanilla blueberry blackberry lime coconut coconut coconut,1,0.33
Glazed Blueberry-Blackberry Turnovers ,blueberry blackberry ginger lime vanilla,4,0.1
Frozen Peaches With Strawberries and Mint ,peach vanilla mint lemon strawberry,4,0.1
Blueberry-Lemon Icebox Cake ,mascarpone lemon lemon graham blueberry,4,0.1
Blueberry–Chia Seed Jam ,blueberry lemon lemon maple,4,0.1
Blueberry and Corn Crisp ,blueberry lemon lemon,3.5,0.78
Coconut Cream Pie ,coconut coconut vanilla,3,0.73
Raspberry Crumble Tart ,almond raspberry,3.5,0.1
Potato Chip–Crusted Magic Bars ,chocolate coconut almond,2,0.57
3-Ingredient Maple-Pecan Fudge ,pecan maple,3,0.67
Mini Frozen Key Lime Pies ,honey graham lime lime lemon,4,0.1
Frozen Iced Coffee With Coffee Jelly ,coffee vanilla coffee chocolate vanilla,4,0.88
"Salted Caramel ""Ding Dong"" Cake ",cocoa chocolate coffee vanilla chocolate vanilla vanilla,3.5,0.91
Spiced Coffee Affogato With Vanilla Ice Cream ,pistachio cinnamon cardamom vanilla coffee,0,0
Tuscan Almond Cookies (Ricciarelli) ,almond lemon vanilla,4,0.1
Matcha Affogato With Green Tea Ice Cream ,matcha almond,0,0
Magpie Dough for Flaky Piecrust ,,0,0
Campari Affogato With Lemon Sorbet ,orange lemon orange,0,0
All-Purpose Pie Dough ,apple,0,0
Double-Layer Vanilla-Buttermilk Cake With Raspberries and Orange Cream-Cheese Frosting ,vanilla vanilla orange orange vanilla raspberry,3,0.79
Vanilla-Buttermilk Cake With Raspberries and Orange Cream-Cheese Frosting ,vanilla vanilla orange orange vanilla raspberry,3,0.67
Sweet Corn Ice Cream With Butterscotch ,vanilla caramel,4,0.1
Watermelon Jell-O Shots ,lime strawberry,0,0
Spiced Zucchini Bread ,zucchini vanilla cinnamon pecan,4,0.1
BA's Best Strawberry Shortcake ,strawberry lemon lemon vanilla,3.5,0.88
Vanilla-Buttermilk Wedding Cake With Raspberries and Orange Cream-Cheese Frosting ,vanilla vanilla orange orange vanilla raspberry,4,0.1
Almond-Apricot Food Processor Cake ,almond apricot vanilla,3.5,0.83
Lemon-Blueberry Poke Cake ,lemon vanilla lemon blueberry lemon blueberry lemon,2.5,0.4
One-Bowl Milk Chocolate Cake with Chocolate-Caramel Frosting ,cocoa chocolate vanilla chocolate vanilla caramel,3,0.71
Strawberry Shortcake with Thyme and Whipped Cream ,thyme vanilla thyme strawberry thyme,3,0.64
Mixed Berry Crumble With Oats and Almonds ,date cinnamon nutmeg oat almond date ginger vanilla,3,0.1
Vanilla-Buttermilk Sheet Cake with Raspberries and Orange Cream-Cheese Frosting ,vanilla vanilla orange orange vanilla raspberry,2,0.5
Toasted-Flour Sablés ,,0,0
Pineapple Macadamia Nut Meringue Pies ,pineapple lemon,2,0.5
Wild Blueberry Pie with Almond Crumble Topping ,blueberry lemon almond,3.5,0.94
Skillet Corn Cake with Stewed Cherries ,lemon cherry lemon,0,0
Crispy Peanut Butter Snack Cake ,peanut honey vanilla coconut pretzel peanut chocolate,2.5,0.78
"Sweet Granita With Blackberries, Toasted Almonds, and Mint ",rose blackberry lime almond mint,0,0
Double and By Double I Mean Triple Chocolate Cookies ,chocolate chocolate cocoa coconut chocolate chocolate,4,0.1
BA's Best Carrot Cake ,raisin rum walnut carrot cinnamon ginger nutmeg vanilla vanilla carrot,4,0.9
Palm Springs Date Shake ,walnut date cinnamon vanilla,0,0
Cherry-Cornmeal Upside-Down Cake ,cherry vanilla,4,0.97
Sister Pie Crust ,apple,4,0.1
Candied Carrot Coins ,carrot,4,0.1
Fruity Berry Tarts with Vanilla Cashew Cream ,date pecan cashew date vanilla blueberry raspberry blackberry basil,4,0.8
Roasted Strawberry Trifles with Lemon Cream ,lemon basil vanilla strawberry basil,4,0.1
3-Ingredient Peanut Butter Cookies ,peanut,3.5,0.94
3-Ingredient Fauxnuts With Maple Glaze ,maple,0,0
3-Ingredient Brown-Butter Shortbread ,,0,0
3-Ingredient Caramel Apple Hand Pies ,apple caramel,0,0
Gooey Chocolate Microwave Mug Cake With Caramel Sauce and Peanuts ,cocoa caramel vanilla peanut,3.5,0.88
3-Ingredient Nutella Brownies ,,3,0.71
"Flourless Almond Cookies with Cardamom, Orange Zest, and Pistachios ",coconut orange almond cardamom pistachio chocolate,4,0.94
French Toast Fingers With Chocolate Hazelnut Spread and Blueberries ,honey orange vanilla hazelnut blueberry coconut,0,0
Semolina–Lemon Syrup Cakes ,almond lemon lemon lemon lemon,3.5,0.82
Matzo Fritters ,cinnamon,0,0
Chocolate-Avocado Pudding ,avocado vanilla cocoa maple orange hazelnut,3.5,0.89
Coconut–Key Lime Sheet Cake ,coconut coconut vanilla coconut lime lime lime lime lime coconut,3,0.79
